Fecha,Hora,VMAX_m_s,T0,Tm,rm_km,re_km,Pico_lluvia_mm_h
2008-09-01 06:00:00,733652.2500000005,7.944470672197261,0.6588894134439452,1.597223533609863,28.411105865560547,57.61665879834082,1.585963618077645
2008-09-01 09:00:00,733652.3750000005,7.573657207408947,0.6514731441481789,1.5786828603704472,28.48526855851821,57.727902837777314,1.5651713720326152
2008-09-01 12:00:00,733652.5000000005,9.22835341503503,0.6845670683007006,1.6614176707517516,28.154329316992992,57.23149397548949,1.6584978438972509
2008-09-01 15:00:00,733652.6250000005,10.01905444498938,0.7003810888997876,1.700952722249469,27.996189111002124,56.994283666503186,1.6987460869667956
2008-09-01 18:00:00,733652.7500000005,11.381199617964723,0.7276239923592944,1.7690599808982361,27.723760076407054,56.585640114610584,1.758262939209181
2008-09-01 21:00:00,733652.8750000005,10.673440994902592,0.7134688198980519,1.7336720497451297,27.86531180101948,56.797967701529224,1.7274301607405487
2008-09-02 00:00:00,733653.0000000005,10.956606170855423,0.7191321234171084,1.747830308542771,27.808678765828915,56.71301814874337,1.7397898314487699
2008-09-02 03:00:00,733653.1250000005,11.421443067257682,0.7284288613451536,1.771072153362884,27.715711386548463,56.573567079822695,1.7600101176818355
2008-09-02 06:00:00,733653.2500000005,11.086882538402895,0.721737650768058,1.7543441269201447,27.78262349231942,56.67393523847913,1.7454654871808983
2008-09-02 09:00:00,733653.3750000005,12.059119847676495,0.7411823969535299,1.8029559923838248,27.5881760304647,56.38226404569705,1.7876086175812753
2008-09-02 12:00:00,733653.5000000005,12.898087287107392,0.7579617457421479,1.8449043643553695,27.420382542578523,56.130573813867784,1.8309228236883925
2008-09-02 15:00:00,733653.6250000005,12.39622078222411,0.7479244156444822,1.8198110391112055,27.52075584355518,56.28113376533277,1.802164084053994
2008-09-02 18:00:00,733653.7500000005,13.072902305141616,0.7614580461028323,1.8536451152570808,27.385419538971675,56.07812930845751,1.8409725746551984
2008-09-02 21:00:00,733653.8750000005,13.140465200314704,0.7628093040062941,1.8570232600157353,27.371906959937057,56.05786043990559,1.844861110225688
2008-09-03 00:00:00,733654.0000000005,12.968890749088281,0.7593778149817656,1.848444537454414,27.406221850182344,56.109332775273515,1.8349911524306568
